3.7300 	ERROR 	avbin.dll failed to load. Try importing psychopy.visual
  as the first library (before anything that uses scipy)
  and make sure that avbin is installed.
13.2846 	WARNING 	Couldn't measure a consistent frame rate.
  - Is your graphics card set to sync to vertical blank?
  - Are you running other processes on your computer?

13.2853 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([ 0.,  0.,  0.]), colorSpace='rgb', fullscr=UNKNOWN, gamma=None, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x144F8CD0>, multiSample=False, name='window1', numSamples=2, pos=[0, 0], screen=0, size=array([1920, 1200]), stereo=False, units=u'norm', useFBO=True, useRetina=True, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
13.2854 	EXP 	window1: recordFrameIntervals = False
13.4900 	EXP 	window1: recordFrameIntervals = True
13.5810 	WARNING 	t of last frame was 28.72ms (=1/34)
13.6432 	WARNING 	t of last frame was 28.46ms (=1/35)
13.7056 	WARNING 	t of last frame was 28.55ms (=1/35)
13.7680 	WARNING 	t of last frame was 28.56ms (=1/35)
13.8149 	WARNING 	Multiple dropped frames have occurred - I'll stop bothering you about them!
15.5934 	WARNING 	Couldn't measure a consistent frame rate.
  - Is your graphics card set to sync to vertical blank?
  - Are you running other processes on your computer?

15.9092 	EXP 	Created text_welcome = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.075, italic=False, name='text_welcome', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=unicode(...), units=u'norm', win=Window(...), wrapWidth=1)
16.1306 	EXP 	Created text_instruction = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='text_instruction', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=unicode(...), units=u'norm', win=Window(...), wrapWidth=1)
16.1366 	EXP 	Created text_fixation = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='text_fixation', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=u'+', units=u'norm', win=Window(...), wrapWidth=1)
16.2175 	WARNING 	psychopy.sound.backend_pyo.init could not find microphone hardware; recording not available
16.8979 	EXP 	Set  sound=C
16.9460 	EXP 	Set  sound=A
16.9461 	EXP 	Sound  set volume 1.000
16.9779 	EXP 	Created text_type = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='text_type', opacity=1.0, ori=0, pos=array([-0.5,  0. ]), rgb=array([ 255.,  255.,  255.]), text=u'default text', units=u'norm', win=Window(...), wrapWidth=1)
17.0828 	EXP 	Created text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='text', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=unicode(...), units=u'norm', win=Window(...), wrapWidth=1)
17.0870 	EXP 	Created text_fixation = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='text_fixation', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=u'+', units=u'norm', win=Window(...), wrapWidth=1)
17.1281 	EXP 	Set  sound=A
17.1282 	EXP 	Sound  set volume 1.000
17.1501 	EXP 	Created text_type = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='text_type', opacity=1.0, ori=0, pos=array([-0.5,  0. ]), rgb=array([ 255.,  255.,  255.]), text=u'default text', units=u'norm', win=Window(...), wrapWidth=1)
17.1822 	EXP 	Created text_end = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.08, italic=False, name='text_end', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=unicode(...), units=u'norm', win=Window(...), wrapWidth=1)
17.1824 	EXP 	window1: recordFrameIntervals = False
17.1851 	EXP 	window1: blendMode = 'avg'
17.2041 	EXP 	text_welcome: autoDraw = True
17.2043 	EXP 	window1: recordFrameIntervals = False
17.6827 	EXP 	window1: blendMode = 'avg'
17.7125 	EXP 	window1: blendMode = 'avg'
17.7295 	EXP 	window1: blendMode = 'avg'
17.7471 	EXP 	window1: blendMode = 'avg'
17.7639 	EXP 	window1: blendMode = 'avg'
17.7807 	EXP 	window1: blendMode = 'avg'
17.7979 	EXP 	window1: blendMode = 'avg'
17.8148 	EXP 	window1: blendMode = 'avg'
17.8316 	EXP 	window1: blendMode = 'avg'
17.8485 	EXP 	window1: blendMode = 'avg'
17.8651 	EXP 	window1: blendMode = 'avg'
17.8821 	EXP 	window1: blendMode = 'avg'
17.8990 	EXP 	window1: blendMode = 'avg'
17.9160 	EXP 	window1: blendMode = 'avg'
17.9329 	EXP 	window1: blendMode = 'avg'
17.9501 	EXP 	window1: blendMode = 'avg'
17.9668 	EXP 	window1: blendMode = 'avg'
17.9837 	EXP 	window1: blendMode = 'avg'
18.0007 	EXP 	window1: blendMode = 'avg'
18.0176 	EXP 	window1: blendMode = 'avg'
18.0346 	EXP 	window1: blendMode = 'avg'
18.0516 	EXP 	window1: blendMode = 'avg'
18.0688 	EXP 	window1: blendMode = 'avg'
18.0855 	EXP 	window1: blendMode = 'avg'
18.1024 	EXP 	window1: blendMode = 'avg'
18.1194 	EXP 	window1: blendMode = 'avg'
18.1363 	EXP 	window1: blendMode = 'avg'
18.1533 	EXP 	window1: blendMode = 'avg'
18.1702 	EXP 	window1: blendMode = 'avg'
18.1872 	EXP 	window1: blendMode = 'avg'
18.2041 	EXP 	window1: blendMode = 'avg'
18.2211 	EXP 	window1: blendMode = 'avg'
18.2380 	EXP 	window1: blendMode = 'avg'
18.2550 	EXP 	window1: blendMode = 'avg'
18.2721 	EXP 	window1: blendMode = 'avg'
18.2889 	EXP 	window1: blendMode = 'avg'
18.3058 	EXP 	window1: blendMode = 'avg'
18.3228 	EXP 	window1: blendMode = 'avg'
18.3399 	EXP 	window1: blendMode = 'avg'
18.3572 	EXP 	window1: blendMode = 'avg'
18.3738 	EXP 	window1: blendMode = 'avg'
18.3909 	EXP 	window1: blendMode = 'avg'
18.4075 	EXP 	window1: blendMode = 'avg'
18.4244 	EXP 	window1: blendMode = 'avg'
18.4414 	EXP 	window1: blendMode = 'avg'
18.4583 	EXP 	window1: blendMode = 'avg'
18.4753 	EXP 	window1: blendMode = 'avg'
18.4923 	EXP 	window1: blendMode = 'avg'
18.5092 	EXP 	window1: blendMode = 'avg'
18.5262 	EXP 	window1: blendMode = 'avg'
18.5431 	EXP 	window1: blendMode = 'avg'
18.5603 	EXP 	window1: blendMode = 'avg'
18.5771 	EXP 	window1: blendMode = 'avg'
18.5940 	EXP 	window1: blendMode = 'avg'
18.6109 	EXP 	window1: blendMode = 'avg'
18.6278 	EXP 	window1: blendMode = 'avg'
18.6447 	EXP 	window1: blendMode = 'avg'
18.6617 	EXP 	window1: blendMode = 'avg'
18.6786 	EXP 	window1: blendMode = 'avg'
18.6956 	EXP 	window1: blendMode = 'avg'
18.7126 	EXP 	window1: blendMode = 'avg'
18.7295 	EXP 	window1: blendMode = 'avg'
18.7464 	EXP 	window1: blendMode = 'avg'
18.7634 	EXP 	window1: blendMode = 'avg'
18.7804 	EXP 	window1: blendMode = 'avg'
18.7973 	EXP 	window1: blendMode = 'avg'
18.8143 	EXP 	window1: blendMode = 'avg'
18.8312 	EXP 	window1: blendMode = 'avg'
18.8482 	EXP 	window1: blendMode = 'avg'
18.8651 	EXP 	window1: blendMode = 'avg'
18.8821 	EXP 	window1: blendMode = 'avg'
18.8990 	EXP 	window1: blendMode = 'avg'
18.9160 	EXP 	window1: blendMode = 'avg'
18.9329 	EXP 	window1: blendMode = 'avg'
18.9499 	EXP 	window1: blendMode = 'avg'
18.9669 	EXP 	window1: blendMode = 'avg'
18.9838 	EXP 	window1: blendMode = 'avg'
19.0008 	EXP 	window1: blendMode = 'avg'
19.0177 	EXP 	window1: blendMode = 'avg'
19.0349 	EXP 	window1: blendMode = 'avg'
19.0516 	EXP 	window1: blendMode = 'avg'
19.0685 	EXP 	window1: blendMode = 'avg'
19.0855 	EXP 	window1: blendMode = 'avg'
19.1024 	EXP 	window1: blendMode = 'avg'
19.1194 	EXP 	window1: blendMode = 'avg'
19.1363 	EXP 	window1: blendMode = 'avg'
19.1536 	EXP 	window1: blendMode = 'avg'
19.1702 	EXP 	window1: blendMode = 'avg'
19.1872 	EXP 	window1: blendMode = 'avg'
19.2041 	EXP 	window1: blendMode = 'avg'
19.2210 	EXP 	window1: blendMode = 'avg'
19.2380 	EXP 	window1: blendMode = 'avg'
19.2550 	EXP 	window1: blendMode = 'avg'
19.2721 	EXP 	window1: blendMode = 'avg'
19.2889 	EXP 	window1: blendMode = 'avg'
19.3058 	EXP 	window1: blendMode = 'avg'
19.3228 	EXP 	window1: blendMode = 'avg'
19.3399 	EXP 	window1: blendMode = 'avg'
19.3570 	EXP 	window1: blendMode = 'avg'
19.3737 	EXP 	window1: blendMode = 'avg'
19.3906 	EXP 	window1: blendMode = 'avg'
19.4075 	EXP 	window1: blendMode = 'avg'
19.4251 	EXP 	window1: blendMode = 'avg'
19.4424 	EXP 	window1: blendMode = 'avg'
19.4603 	EXP 	window1: blendMode = 'avg'
19.4767 	EXP 	window1: blendMode = 'avg'
19.4955 	EXP 	window1: blendMode = 'avg'
19.5121 	EXP 	window1: blendMode = 'avg'
19.5283 	EXP 	window1: blendMode = 'avg'
19.5448 	EXP 	window1: blendMode = 'avg'
19.5613 	EXP 	window1: blendMode = 'avg'
19.5782 	EXP 	window1: blendMode = 'avg'
19.5954 	EXP 	window1: blendMode = 'avg'
19.6124 	EXP 	window1: blendMode = 'avg'
19.6294 	EXP 	window1: blendMode = 'avg'
19.6463 	EXP 	window1: blendMode = 'avg'
19.6632 	EXP 	window1: blendMode = 'avg'
19.6802 	EXP 	window1: blendMode = 'avg'
19.6971 	EXP 	window1: blendMode = 'avg'
19.7143 	EXP 	window1: blendMode = 'avg'
19.7311 	EXP 	window1: blendMode = 'avg'
19.7480 	EXP 	window1: blendMode = 'avg'
19.7650 	EXP 	window1: blendMode = 'avg'
19.7819 	EXP 	window1: blendMode = 'avg'
19.7989 	EXP 	window1: blendMode = 'avg'
19.8158 	EXP 	window1: blendMode = 'avg'
19.8333 	EXP 	window1: blendMode = 'avg'
19.8503 	EXP 	window1: blendMode = 'avg'
19.8667 	EXP 	window1: blendMode = 'avg'
19.8837 	EXP 	window1: blendMode = 'avg'
19.9005 	EXP 	window1: blendMode = 'avg'
19.9175 	EXP 	window1: blendMode = 'avg'
19.9344 	EXP 	window1: blendMode = 'avg'
19.9514 	EXP 	window1: blendMode = 'avg'
19.9683 	EXP 	window1: blendMode = 'avg'
19.9855 	EXP 	window1: blendMode = 'avg'
20.0023 	EXP 	window1: blendMode = 'avg'
20.0192 	EXP 	window1: blendMode = 'avg'
20.0361 	EXP 	window1: blendMode = 'avg'
20.0531 	EXP 	window1: blendMode = 'avg'
20.0701 	EXP 	window1: blendMode = 'avg'
20.0870 	EXP 	window1: blendMode = 'avg'
20.1040 	EXP 	window1: blendMode = 'avg'
20.1209 	EXP 	window1: blendMode = 'avg'
20.1379 	EXP 	window1: blendMode = 'avg'
20.1548 	EXP 	window1: blendMode = 'avg'
20.1717 	EXP 	window1: blendMode = 'avg'
20.1887 	EXP 	window1: blendMode = 'avg'
20.2056 	EXP 	window1: blendMode = 'avg'
20.2225 	EXP 	window1: blendMode = 'avg'
20.2395 	EXP 	window1: blendMode = 'avg'
20.2565 	EXP 	window1: blendMode = 'avg'
20.2737 	EXP 	window1: blendMode = 'avg'
20.2904 	EXP 	window1: blendMode = 'avg'
20.3074 	EXP 	window1: blendMode = 'avg'
20.3243 	EXP 	window1: blendMode = 'avg'
20.3413 	EXP 	window1: blendMode = 'avg'
20.3584 	EXP 	window1: blendMode = 'avg'
20.3751 	EXP 	window1: blendMode = 'avg'
20.3920 	EXP 	window1: blendMode = 'avg'
20.4090 	EXP 	window1: blendMode = 'avg'
20.4259 	EXP 	window1: blendMode = 'avg'
20.4429 	EXP 	window1: blendMode = 'avg'
20.4598 	EXP 	window1: blendMode = 'avg'
20.4770 	EXP 	window1: blendMode = 'avg'
20.4937 	EXP 	window1: blendMode = 'avg'
20.5106 	EXP 	window1: blendMode = 'avg'
20.5276 	EXP 	window1: blendMode = 'avg'
20.5446 	EXP 	window1: blendMode = 'avg'
20.5616 	EXP 	window1: blendMode = 'avg'
20.5785 	EXP 	window1: blendMode = 'avg'
20.5954 	EXP 	window1: blendMode = 'avg'
